"Date","Price","Open","High","Low","Vol.","Change %"
"18-10-2019","11,661.85","11,580.30","11,684.70","11,553.15","853.44B","0.65%"
"17-10-2019","11,586.35","11,466.30","11,599.10","11,439.65","797.57B","1.07%"
"16-10-2019","11,464.00","11,464.95","11,481.05","11,411.10","533.47B","0.31%"
"15-10-2019","11,428.30","11,360.85","11,462.35","11,342.10","527.40B","0.77%"
"14-10-2019","11,341.15","11,335.90","11,420.45","11,290.05","587.58B","0.32%"
"11-10-2019","11,305.05","11,257.70","11,362.90","11,189.40","737.79B","0.63%"
"10-10-2019","11,234.55","11,280.50","11,293.35","11,208.55","562.02B","-0.70%"
"09-10-2019","11,313.30","11,152.95","11,321.60","11,090.15","741.15B","1.68%"
"07-10-2019","11,126.40","11,196.20","11,233.85","11,112.65","733.20B","-0.43%"
"04-10-2019","11,174.75","11,388.45","11,400.30","11,158.35","928.52B","-1.23%"
"03-10-2019","11,314.00","11,322.25","11,370.40","11,257.35","1,017.48B","-0.40%"
"01-10-2019","11,359.90","11,515.40","11,554.20","11,247.90","1,305.41B","-1.00%"
"30-09-2019","11,474.45","11,491.15","11,508.25","11,390.80","756.85B","-0.33%"
"27-09-2019","11,512.40","11,556.35","11,593.60","11,499.75","650.02B","-0.51%"
"26-09-2019","11,571.20","11,469.85","11,610.85","11,466.35","844.47B","1.15%"
"25-09-2019","11,440.20","11,564.85","11,564.95","11,416.10","629.06B","-1.28%"
"24-09-2019","11,588.20","11,590.70","11,655.05","11,539.20","651.72B","-0.10%"
"23-09-2019","11,600.20","11,542.70","11,694.85","11,471.35","882.83B","2.89%"
"20-09-2019","11,274.20","10,746.80","11,381.90","10,691.00","1,356.77B","5.32%"
"19-09-2019","10,704.80","10,845.20","10,845.20","10,670.25","642.60B","-1.25%"
"18-09-2019","10,840.65","10,872.80","10,885.15","10,804.85","519.15B","0.21%"
"17-09-2019","10,817.60","11,000.10","11,000.10","10,796.50","482.01B","-1.69%"
"16-09-2019","11,003.50","10,994.85","11,052.70","10,968.20","434.45B","-0.65%"
"13-09-2019","11,075.90","10,986.80","11,084.45","10,945.75","624.30B","0.85%"
"12-09-2019","10,982.80","11,058.30","11,081.75","10,964.95","551.44B","-0.48%"
"11-09-2019","11,035.70","11,028.50","11,054.80","11,011.65","687.14B","0.30%"
"09-09-2019","11,003.05","10,936.70","11,028.85","10,889.80","412.47B","0.52%"
"06-09-2019","10,946.20","10,883.80","10,957.05","10,867.45","497.21B","0.91%"
"05-09-2019","10,847.90","10,860.95","10,920.10","10,816.00","595.70B","0.03%"
"04-09-2019","10,844.65","10,790.40","10,858.75","10,746.35","508.78B","0.43%"
"03-09-2019","10,797.90","10,960.95","10,967.50","10,772.70","483.04B","-2.04%"
"30-08-2019","11,023.25","10,987.80","11,042.60","10,874.80","628.15B","0.68%"
"29-08-2019","10,948.30","10,996.05","11,021.10","10,922.40","649.88B","-0.89%"
"28-08-2019","11,046.10","11,101.30","11,129.65","10,987.65","549.95B","-0.53%"
"27-08-2019","11,105.35","11,106.55","11,141.75","11,049.50","685.55B","0.43%"
"26-08-2019","11,057.85","11,000.30","11,070.30","10,756.55","684.14B","2.11%"
"23-08-2019","10,829.35","10,699.60","10,862.55","10,637.15","667.08B","0.82%"
"22-08-2019","10,741.35","10,905.30","10,908.25","10,718.30","668.19B","-1.62%"
"21-08-2019","10,918.70","11,018.15","11,034.20","10,906.65","557.87B","-0.89%"
"20-08-2019","11,017.00","11,063.90","11,076.30","10,985.30","444.72B","-0.33%"
"19-08-2019","11,053.90","11,094.80","11,146.90","11,037.85","369.49B","0.06%"
"16-08-2019","11,047.80","11,043.65","11,068.65","10,924.30","470.91B","0.17%"
"14-08-2019","11,029.40","11,003.25","11,078.15","10,935.60","511.54B","0.95%"
"13-08-2019","10,925.85","11,139.40","11,145.90","10,901.60","624.64B","-1.65%"
"09-08-2019","11,109.65","11,087.90","11,181.45","11,062.80","538.06B","0.70%"
"08-08-2019","11,032.45","10,899.20","11,058.05","10,842.95","482.47B","1.63%"
"07-08-2019","10,855.50","10,958.10","10,975.65","10,835.90","548.47B","-0.85%"
"06-08-2019","10,948.25","10,815.40","11,018.55","10,813.80","517.89B","0.79%"
"05-08-2019","10,862.60","10,895.80","10,895.80","10,782.60","506.56B","-1.23%"
"02-08-2019","10,997.35","10,930.30","11,080.15","10,848.95","547.42B","0.16%"
"01-08-2019","10,980.00","11,060.20","11,076.75","10,881.00","499.92B","-1.24%"
"31-07-2019","11,118.00","11,034.05","11,145.30","10,999.40","536.69B","0.29%"
"30-07-2019","11,085.40","11,213.70","11,267.45","11,072.65","479.06B","-0.93%"
"29-07-2019","11,189.20","11,307.50","11,310.95","11,152.40","482.86B","-0.84%"
"26-07-2019","11,284.30","11,247.45","11,307.60","11,210.05","522.67B","0.29%"
"25-07-2019","11,252.15","11,290.40","11,361.40","11,239.35","553.68B","-0.17%"
"24-07-2019","11,271.30","11,322.45","11,359.75","11,229.80","413.20B","-0.53%"
"23-07-2019","11,331.05","11,372.25","11,398.15","11,302.80","458.93B","-0.13%"
"22-07-2019","11,346.20","11,392.85","11,398.15","11,301.25","516.04B","-0.64%"
"19-07-2019","11,419.25","11,627.95","11,640.35","11,399.30","446.05B","-1.53%"
"18-07-2019","11,596.90","11,675.60","11,677.15","11,582.40","498.26B","-0.78%"
"17-07-2019","11,687.50","11,670.75","11,706.65","11,651.15","464.83B","0.21%"
"16-07-2019","11,662.60","11,596.65","11,670.05","11,573.95","480.16B","0.64%"
"15-07-2019","11,588.35","11,614.75","11,618.40","11,532.30","368.79B","0.31%"
"12-07-2019","11,552.50","11,601.15","11,639.55","11,538.60","359.42B","-0.26%"
"11-07-2019","11,582.90","11,561.45","11,599.00","11,519.50","317.26B","0.73%"
"10-07-2019","11,498.90","11,536.15","11,593.70","11,475.65","337.57B","-0.49%"
"09-07-2019","11,555.90","11,531.60","11,582.55","11,461.00","442.52B","-0.02%"
"08-07-2019","11,558.60","11,770.40","11,771.90","11,523.30","464.03B","-2.14%"
"05-07-2019","11,811.15","11,964.75","11,981.75","11,797.90","530.72B","-1.14%"
"04-07-2019","11,946.75","11,928.80","11,969.25","11,923.65","333.59B","0.25%"
"03-07-2019","11,916.75","11,932.15","11,945.20","11,887.05","340.53B","0.05%"
"02-07-2019","11,910.30","11,890.30","11,917.45","11,814.70","363.20B","0.38%"
"01-07-2019","11,865.60","11,839.90","11,884.65","11,830.80","278.42B","0.65%"
"28-06-2019","11,788.85","11,861.15","11,871.70","11,775.50","303.89B","-0.45%"
"27-06-2019","11,841.55","11,860.85","11,911.15","11,821.05","480.17B","-0.05%"
"26-06-2019","11,847.55","11,768.15","11,871.85","11,757.55","327.88B","0.43%"
"25-06-2019","11,796.45","11,681.00","11,814.40","11,651.00","300.48B","0.83%"
"24-06-2019","11,699.65","11,725.80","11,754.00","11,670.20","277.62B","-0.21%"
"21-06-2019","11,724.10","11,827.60","11,827.95","11,705.10","468.43B","-0.91%"
"20-06-2019","11,831.75","11,653.65","11,843.50","11,635.05","442.02B","1.20%"
"19-06-2019","11,691.45","11,744.45","11,802.50","11,625.10","446.93B","0.00%"
"18-06-2019","11,691.50","11,677.05","11,727.20","11,641.15","365.53B","0.17%"
"17-06-2019","11,672.15","11,844.00","11,844.05","11,657.75","295.53B","-1.28%"
"14-06-2019","11,823.30","11,910.10","11,911.85","11,797.70","390.29B","-0.76%"
"13-06-2019","11,914.05","11,873.90","11,931.35","11,817.05","447.90B","0.07%"
"12-06-2019","11,906.20","11,962.45","11,962.45","11,866.35","283.72B","-0.50%"
"11-06-2019","11,965.60","11,959.85","12,000.35","11,904.35","332.18B","0.36%"
"10-06-2019","11,922.70","11,934.90","11,975.05","11,871.75","303.33B","0.44%"
"07-06-2019","11,870.65","11,865.20","11,897.50","11,769.50","302.46B","0.23%"
"06-06-2019","11,843.75","12,039.80","12,039.80","11,830.25","415.21B","-1.48%"
"04-06-2019","12,021.65","12,052.65","12,095.20","12,005.85","289.22B","-0.55%"
"03-06-2019","12,088.55","11,953.75","12,103.05","11,920.10","315.30B","1.39%"
"31-05-2019","11,922.80","11,999.80","12,039.25","11,829.45","438.88B","-0.19%"
"30-05-2019","11,945.90","11,865.30","11,968.55","11,859.40","421.20B","0.71%"
"29-05-2019","11,861.10","11,905.80","11,931.90","11,836.80","318.07B","-0.57%"
"28-05-2019","11,928.75","11,958.35","11,958.55","11,864.90","598.31B","0.03%"
"27-05-2019","11,924.75","11,855.50","11,957.15","11,812.40","348.36B","0.68%"
"24-05-2019","11,844.10","11,748.00","11,859.00","11,658.10","374.64B","1.60%"
"23-05-2019","11,657.05","11,901.30","12,041.15","11,614.50","569.03B","-0.69%"
"22-05-2019","11,737.90","11,727.95","11,784.80","11,682.40","355.87B","0.25%"
"21-05-2019","11,709.10","11,863.65","11,883.55","11,682.80","381.04B","-1.01%"
"20-05-2019","11,828.25","11,651.90","11,845.20","11,591.70","452.10B","3.69%"
"17-05-2019","11,407.15","11,261.90","11,426.15","11,259.85","412.11B","1.33%"
"16-05-2019","11,257.10","11,180.35","11,281.55","11,143.35","350.74B","0.90%"
"15-05-2019","11,157.00","11,271.70","11,286.80","11,136.95","414.17B","-0.58%"
"14-05-2019","11,222.05","11,151.65","11,294.75","11,108.30","398.12B","0.66%"
"13-05-2019","11,148.20","11,258.70","11,300.20","11,125.60","357.59B","-1.16%"
"10-05-2019","11,278.90","11,314.15","11,345.80","11,251.05","387.32B","-0.20%"
"09-05-2019","11,301.80","11,322.40","11,357.60","11,255.05","373.03B","-0.51%"
"08-05-2019","11,359.45","11,478.70","11,479.10","11,346.95","372.83B","-1.20%"
"07-05-2019","11,497.90","11,651.50","11,657.05","11,484.45","337.50B","-0.87%"
"06-05-2019","11,598.25","11,605.80","11,632.55","11,571.35","299.05B","-0.97%"
"03-05-2019","11,712.25","11,722.60","11,770.90","11,699.35","305.52B","-0.11%"
"02-05-2019","11,724.75","11,725.55","11,789.30","11,699.55","380.28B","-0.20%"
"30-04-2019","11,748.15","11,748.75","11,756.25","11,655.90","532.63B","-0.06%"
"26-04-2019","11,754.65","11,683.75","11,762.90","11,661.75","333.48B","0.97%"
"25-04-2019","11,641.80","11,735.70","11,796.75","11,624.30","604.36B","-0.72%"
"24-04-2019","11,726.15","11,601.50","11,740.85","11,578.85","335.20B","1.30%"
"23-04-2019","11,575.95","11,612.95","11,645.95","11,564.80","272.54B","-0.16%"
"22-04-2019","11,594.45","11,727.05","11,727.05","11,583.95","260.36B","-1.35%"
"18-04-2019","11,752.80","11,856.15","11,856.15","11,738.50","339.65B","-0.29%"
"16-04-2019","11,787.15","11,736.20","11,810.95","11,731.55","354.32B","0.83%"
"15-04-2019","11,690.35","11,667.00","11,704.60","11,648.25","290.00B","0.40%"
"12-04-2019","11,643.45","11,612.85","11,657.35","11,578.80","246.01B","0.40%"
"11-04-2019","11,596.70","11,592.55","11,606.70","11,550.55","279.78B","0.11%"
"10-04-2019","11,584.30","11,646.85","11,680.05","11,571.75","359.94B","-0.75%"
"09-04-2019","11,671.95","11,612.05","11,683.90","11,569.70","300.47B","0.58%"
"08-04-2019","11,604.50","11,704.35","11,710.30","11,549.10","260.93B","-0.53%"
"05-04-2019","11,665.95","11,638.40","11,689.65","11,609.50","266.67B","0.59%"
"04-04-2019","11,598.00","11,660.20","11,662.55","11,559.20","349.03B","-0.39%"
"03-04-2019","11,643.95","11,735.30","11,761.00","11,629.15","365.76B","-0.59%"
"02-04-2019","11,713.20","11,711.55","11,729.35","11,655.85","386.13B","0.38%"
"01-04-2019","11,669.15","11,665.20","11,738.10","11,644.75","379.57B","0.39%"
"29-03-2019","11,623.90","11,625.45","11,630.35","11,570.15","416.28B","0.47%"
"28-03-2019","11,570.00","11,463.65","11,588.50","11,452.45","527.68B","1.09%"
"27-03-2019","11,445.05","11,531.45","11,546.20","11,413.00","350.45B","-0.33%"
"26-03-2019","11,483.25","11,375.20","11,496.75","11,352.45","282.58B","1.14%"
"25-03-2019","11,354.25","11,395.65","11,395.65","11,311.60","294.46B","-0.90%"
"22-03-2019","11,456.90","11,549.20","11,572.80","11,434.55","386.19B","-0.56%"
"20-03-2019","11,521.05","11,553.35","11,556.10","11,503.10","366.30B","-0.10%"
"19-03-2019","11,532.40","11,500.30","11,543.85","11,451.25","326.10B","0.61%"
"18-03-2019","11,462.20","11,473.85","11,530.15","11,412.50","320.25B","0.31%"
"15-03-2019","11,426.85","11,376.85","11,487.00","11,370.80","463.71B","0.74%"
"14-03-2019","11,343.25","11,382.50","11,383.45","11,313.75","294.48B","0.01%"
"13-03-2019","11,341.70","11,326.20","11,352.30","11,276.60","383.00B","0.36%"
"12-03-2019","11,301.20","11,231.35","11,320.40","11,227.00","391.31B","1.19%"
"11-03-2019","11,168.05","11,068.75","11,180.90","11,059.85","352.24B","1.20%"
"08-03-2019","11,035.40","11,038.85","11,049.00","11,008.95","326.57B","-0.21%"
"07-03-2019","11,058.20","11,077.95","11,089.05","11,027.10","321.21B","0.05%"
"06-03-2019","11,053.00","11,024.85","11,062.30","10,998.85","372.55B","0.60%"
"05-03-2019","10,987.45","10,864.85","10,994.90","10,817.00","373.22B","1.14%"
"01-03-2019","10,863.50","10,842.65","10,877.90","10,823.10","308.53B","0.66%"
"28-02-2019","10,792.50","10,865.70","10,865.70","10,784.85","644.16B","-0.13%"
"27-02-2019","10,806.65","10,881.20","10,939.70","10,751.20","381.08B","-0.26%"
"26-02-2019","10,835.30","10,775.30","10,888.75","10,729.30","414.95B","-0.41%"
"25-02-2019","10,880.10","10,813.25","10,887.10","10,788.05","385.91B","0.82%"
"22-02-2019","10,791.65","10,782.70","10,801.55","10,758.40","396.85B","0.02%"
"21-02-2019","10,789.85","10,744.10","10,808.85","10,721.50","279.58B","0.51%"
"20-02-2019","10,735.45","10,655.45","10,752.70","10,646.40","289.19B","1.24%"
"19-02-2019","10,604.35","10,636.70","10,722.85","10,585.65","291.51B","-0.34%"
"18-02-2019","10,640.95","10,738.65","10,759.90","10,628.40","345.44B","-0.78%"
"15-02-2019","10,724.40","10,780.25","10,785.75","10,620.40","521.88B","-0.20%"
"14-02-2019","10,746.05","10,786.10","10,792.70","10,718.75","627.04B","-0.44%"
"13-02-2019","10,793.65","10,870.55","10,891.65","10,772.10","321.96B","-0.35%"
"12-02-2019","10,831.40","10,879.70","10,910.90","10,823.80","292.32B","-0.53%"
"11-02-2019","10,888.80","10,930.90","10,930.90","10,857.10","285.99B","-0.50%"
"08-02-2019","10,943.60","11,023.50","11,041.20","10,925.45","352.79B","-1.14%"
"07-02-2019","11,069.40","11,070.45","11,118.10","11,043.60","263.54B","0.06%"
"06-02-2019","11,062.45","10,965.10","11,072.60","10,962.70","298.51B","1.17%"
"05-02-2019","10,934.35","10,908.65","10,956.70","10,886.70","268.09B","0.20%"
"04-02-2019","10,912.25","10,876.75","10,927.90","10,814.15","318.30B","0.17%"
"01-02-2019","10,893.65","10,851.35","10,983.45","10,813.45","482.27B","0.58%"
"31-01-2019","10,830.95","10,690.55","10,838.05","10,678.55","604.82B","1.68%"
"30-01-2019","10,651.80","10,702.25","10,710.20","10,612.85","410.11B","0.00%"
"29-01-2019","10,652.20","10,653.70","10,690.35","10,583.65","356.91B","-0.09%"
"28-01-2019","10,661.55","10,792.45","10,804.45","10,630.95","419.68B","-1.10%"
"25-01-2019","10,780.55","10,859.75","10,931.70","10,756.45","463.45B","-0.64%"
"24-01-2019","10,849.80","10,844.05","10,866.60","10,798.65","361.08B","0.17%"
"23-01-2019","10,831.50","10,931.05","10,944.80","10,811.95","298.88B","-0.84%"
"22-01-2019","10,922.75","10,949.80","10,949.80","10,864.15","300.77B","-0.36%"
"21-01-2019","10,961.85","10,919.35","10,987.45","10,885.75","288.83B","0.50%"
"18-01-2019","10,906.95","10,914.85","10,928.20","10,852.20","323.81B","0.02%"
"17-01-2019","10,905.20","10,920.85","10,930.65","10,844.65","271.68B","0.14%"
"16-01-2019","10,890.30","10,899.65","10,928.15","10,876.90","276.54B","0.03%"
"15-01-2019","10,886.80","10,777.55","10,896.95","10,777.55","310.74B","1.39%"
"14-01-2019","10,737.60","10,807.00","10,808.00","10,692.35","298.77B","-0.53%"
"11-01-2019","10,794.95","10,834.75","10,850.15","10,739.40","260.79B","-0.25%"
"10-01-2019","10,821.60","10,859.35","10,859.35","10,801.80","254.37B","-0.31%"
"09-01-2019","10,855.15","10,862.40","10,870.40","10,749.40","333.01B","0.49%"
"08-01-2019","10,802.15","10,786.25","10,818.45","10,733.25","277.70B","0.28%"
"07-01-2019","10,771.80","10,804.85","10,835.95","10,750.15","269.37B","0.41%"
"04-01-2019","10,727.35","10,699.70","10,741.05","10,628.65","296.60B","0.52%"
"03-01-2019","10,672.25","10,796.80","10,814.05","10,661.25","286.24B","-1.11%"
"02-01-2019","10,792.50","10,868.85","10,895.35","10,735.05","309.67B","-1.08%"
"01-01-2019","10,910.10","10,881.70","10,923.60","10,807.10","159.40B","0.44%"
"31-12-2018","10,862.55","10,913.20","10,923.55","10,853.20","186.49B","0.02%"
"28-12-2018","10,859.90","10,820.95","10,893.60","10,817.15","253.09B","0.74%"
"27-12-2018","10,779.80","10,817.90","10,834.20","10,764.45","470.16B","0.47%"
"26-12-2018","10,729.85","10,635.45","10,747.50","10,534.55","271.94B","0.62%"
"24-12-2018","10,663.50","10,780.90","10,782.30","10,649.25","230.29B","-0.84%"
"21-12-2018","10,754.00","10,944.25","10,963.65","10,738.65","389.24B","-1.81%"
"20-12-2018","10,951.70","10,885.20","10,962.55","10,880.05","328.80B","-0.14%"
"19-12-2018","10,967.30","10,930.55","10,985.15","10,928.00","321.80B","0.54%"
"18-12-2018","10,908.70","10,850.90","10,915.40","10,819.10","294.94B","0.19%"
"17-12-2018","10,888.35","10,853.20","10,900.35","10,844.85","306.15B","0.77%"
"14-12-2018","10,805.45","10,784.50","10,815.75","10,752.10","350.58B","0.13%"
"13-12-2018","10,791.55","10,810.75","10,838.60","10,749.50","387.81B","0.50%"
"12-12-2018","10,737.60","10,591.00","10,752.20","10,560.80","371.70B","1.79%"
"11-12-2018","10,549.15","10,350.05","10,567.15","10,333.85","438.70B","0.58%"
"10-12-2018","10,488.45","10,508.70","10,558.85","10,474.95","393.10B","-1.92%"
"07-12-2018","10,693.70","10,644.80","10,704.55","10,599.35","335.85B","0.87%"
"06-12-2018","10,601.15","10,718.15","10,722.65","10,588.25","328.28B","-1.69%"
"05-12-2018","10,782.90","10,820.45","10,821.05","10,747.95","322.02B","-0.80%"
"04-12-2018","10,869.50","10,877.10","10,890.95","10,833.35","332.14B","-0.13%"
"03-12-2018","10,883.75","10,930.70","10,941.20","10,845.35","422.36B","0.06%"
"30-11-2018","10,876.75","10,892.10","10,922.45","10,835.10","467.86B","0.17%"
"29-11-2018","10,858.70","10,808.70","10,883.05","10,782.35","712.65B","1.21%"
"28-11-2018","10,728.85","10,708.75","10,757.80","10,699.85","437.63B","0.40%"
"27-11-2018","10,685.60","10,621.45","10,695.15","10,596.35","382.83B","0.54%"
"26-11-2018","10,628.60","10,568.30","10,637.80","10,489.75","332.86B","0.97%"
"22-11-2018","10,526.75","10,612.65","10,646.25","10,512.00","246.93B","-0.69%"
"21-11-2018","10,600.05","10,670.95","10,671.30","10,562.35","310.19B","-0.53%"
"20-11-2018","10,656.20","10,740.10","10,740.85","10,640.85","304.32B","-1.00%"
"19-11-2018","10,763.40","10,731.25","10,774.70","10,688.80","280.52B","0.76%"
"16-11-2018","10,682.20","10,644.00","10,695.15","10,631.15","353.38B","0.62%"
"15-11-2018","10,616.70","10,580.60","10,646.50","10,557.50","306.01B","0.38%"
"14-11-2018","10,576.30","10,634.90","10,651.60","10,532.70","396.37B","-0.06%"
"13-11-2018","10,582.50","10,451.90","10,596.25","10,440.55","262.54B","0.96%"
"12-11-2018","10,482.20","10,607.80","10,645.50","10,464.05","267.71B","-0.97%"
"09-11-2018","10,585.20","10,614.70","10,619.55","10,544.85","305.82B","-0.13%"
"07-11-2018","10,598.85","10,614.45","10,616.45","10,591.80","2.83B","0.65%"
"06-11-2018","10,530.00","10,552.00","10,600.25","10,491.45","309.88B","0.06%"
"05-11-2018","10,524.00","10,558.75","10,558.80","10,477.00","311.18B","-0.27%"
"02-11-2018","10,553.00","10,462.30","10,606.95","10,457.70","434.18B","1.66%"
"01-11-2018","10,380.45","10,441.70","10,441.90","10,341.90","359.34B","-0.06%"
"31-10-2018","10,386.60","10,209.55","10,396.00","10,105.10","386.62B","1.85%"
"30-10-2018","10,198.40","10,239.40","10,285.10","10,175.35","298.75B","-0.51%"
"29-10-2018","10,250.85","10,078.10","10,275.30","10,020.35","375.75B","2.20%"
"26-10-2018","10,030.00","10,122.35","10,128.85","10,004.55","375.56B","-0.94%"
"25-10-2018","10,124.90","10,135.05","10,166.60","10,079.30","522.42B","-0.98%"
"24-10-2018","10,224.75","10,278.15","10,290.65","10,126.70","362.27B","0.77%"
"23-10-2018","10,146.80","10,152.60","10,222.10","10,102.35","312.04B","-0.96%"
"22-10-2018","10,245.25","10,405.85","10,408.55","10,224.00","306.47B","-0.57%"
